,Process,Accepted,Inclusion_Rate,Adaptation_Rate,Cost,Frequency,Purchased,Rides,Ending_Position,Starting_Position,Value
2398,Automation Management Team,1,63,77,218.016,192,591.55,1.5,"[40.74411392, -73.98136139]","[40.74764252, -73.98362732]",20
2399,Automation Management Team,0,58,28,375.472,658,235.4,41,"[40.76414871, -73.99214935]","[40.78133011, -73.96062469]",44
2400,Automation Management Team,0,39,5,218.016,585,246.1,3,"[40.80463028, -73.93946075]","[40.77806854, -73.95440674]",27
2401,Automation Management Team,0,53,95,278.576,536,818.45,39.5,"[40.86139297, -73.92446136]","[40.782444, -73.98064423]",40
2402,Automation Management Team,1,82,8,351.248,611,668.4,31,"[40.74520874, -73.99134827]","[40.71897888, -73.99446869]",27
2403,Automation Management Team,1,12,5,496.592,320,843,42,"[40.76629257, -73.96662140000001]","[40.75120163, -73.99398041]",54
2404,Automation Management Team,1,98,48,12.112,165,214.8,7,"[40.76937866, -73.96932983]","[40.74929047, -73.99230194]",36
2405,Automation Management Team,0,27,14,278.576,382,859.7,16.5,"[40.76393127, -73.97605896]","[40.75032806, -73.97471619]",33
2406,Automation Management Team,0,77,84,411.808,426,74.3,27.5,"[40.71603775, -74.01580811]","[40.72039032, -73.99267578]",30
2407,Automation Management Team,0,32,98,460.256,448,49.6,28.5,"[40.70693588, -74.00736237]","[40.79436111, -73.94271088]",32
2408,Automation Management Team,0,50,1,121.12,514,415.7,38,"[40.76155853, -73.97261047]","[40.6440506, -73.78713989]",44
2409,Automation Management Team,0,59,7,472.368,557,615.35,21.5,"[40.74871063, -73.96938324]","[40.73730087, -73.99655151]",46
2410,Automation Management Team,0,64,68,109.008,111,359.5,10.5,"[40.76686096, -73.98344421]","[40.76701736, -73.95657349]",57
2411,Automation Management Team,0,86,96,242.24,395,624.65,8,"[40.72632599, -73.93797302]","[40.76723862, -73.98442078]",41
2412,Automation Management Team,1,71,15,375.472,766,446.95,6.5,"[40.79938507, -73.93881226]","[40.71905518, -74.00878143]",26
2413,Automation Management Team,0,45,93,484.48,33,669.05,26.5,"[40.7603035, -73.98752594]","[40.71480942, -74.01625061]",35
2414,Automation Management Team,1,8,11,157.456,131,843.35,34,"[40.74279022, -74.0041275]","[40.72114182, -74.00994873]",26
2415,Automation Management Team,1,84,50,496.592,152,239.35,1.5,"[40.79439545, -73.96643829]","[40.72050095, -73.99694824]",33
2416,Automation Management Team,0,93,38,266.464,331,308.75,31,"[40.75040054, -73.99480438]","[40.73099899, -74.00508881]",21
2417,Automation Management Team,1,22,27,169.568,738,160.95,1,"[40.75926971, -73.97112274]","[40.76044846, -73.99504089]",58
2418,Automation Management Team,0,39,2,36.336,309,514.05,28,"[40.74279022, -74.0041275]","[40.76839066, -73.98168945]",42
2419,Automation Market Group,1,55,64,121.12,707,375.35,18.5,"[40.76442719, -73.97344208]","[40.71966934, -73.99803162]",56
2420,Automation Market Group,1,32,91,121.12,685,651.1,17.5,"[40.75926971, -73.97112274]","[40.67956543, -73.98455048]",49
2421,Automation Market Group,0,47,8,327.024,563,653.25,30.5,"[40.73498154, -73.99124146]","[40.75600815, -73.96777344]",25
2422,Automation Market Group,0,20,93,36.336,191,20.75,43,"[40.74425125, -73.99568939]","[40.71743774, -74.01063538]",52
2423,Automation Market Group,1,80,74,254.352,770,672.5,15,"[40.75366211, -73.9664917]","[40.77649689, -73.95264435]",26
2424,Automation Market Group,1,53,55,460.256,807,416,25,"[40.76442719, -73.97344208]","[40.75148392, -73.93431854]",27
2425,Automation Market Group,1,7,32,133.232,844,82.95,4.5,"[40.75789261, -73.97076416]","[40.75778579999999, -73.96154785]",48
2426,Automation Market Group,1,21,3,387.584,9,504.5,16.5,"[40.71307373, -74.01493073]","[40.74909973, -73.97567749]",54
2427,Automation Market Group,1,59,75,448.144,195,644.65,42.5,"[40.75834274, -73.96240997]","[40.64518356, -73.78082275]",45
2428,Automation Market Group,1,65,70,96.896,400,103.05,4.5,"[40.80493164, -73.96251678]","[40.74716568, -73.98508453]",35
2429,Automation Market Group,1,58,13,508.704,515,456.15,45,"[40.76285172, -73.96546173]","[40.75831604, -73.97743225]",24
2430,Automation Market Group,0,56,19,145.344,585,410.9,26,"[40.71392059, -74.01409912]","[40.73851013, -73.99958038]",52
2431,Automation Market Group,1,46,19,133.232,714,75.25,11,"[40.77465057, -73.96115875]","[0.0, 0.0]",46
2432,Automation Market Group,0,49,80,460.256,602,247.65,6.5,"[40.674392700000006, -73.95662689]","[40.76461792, -73.98136139]",56
2433,Automation Market Group,1,43,38,520.816,773,729.85,6.5,"[40.78512955, -73.95369720000001]","[40.75522232, -73.99271393]",40
2434,Automation Market Group,0,82,83,484.48,646,151.25,14.5,"[40.70816803, -74.00337219]","[40.75106049, -73.97462463]",33
2435,Automation Market Group,0,80,29,266.464,38,580.55,36.5,"[40.72181702, -73.99531555]","[40.77873993, -73.95822906]",27
2436,Automation Market Group,0,55,92,266.464,189,451.7,3,"[40.7091217, -74.00563812]","[40.64518356, -73.78082275]",22
2437,Automation Market Group,0,38,39,230.128,201,951.6,34,"[40.76977158, -73.99504089]","[40.76485825, -73.98415375]",58
2438,Automation Market Group,1,81,99,181.68,386,257.9,11,"[40.75810623, -73.9728241]","[40.76839066, -73.98168945]",28
2439,Automation Market Group,1,93,11,266.464,641,870.15,29.5,"[40.7088089, -74.01053619]","[40.72471619, -73.98733521]",58
2440,Automation Market Group,1,66,39,496.592,531,87.3,27,"[40.76136017, -73.98381042]","[40.76485825, -73.98415375]",21
2441,Automation Market Group,0,39,47,266.464,796,395.45,6,"[40.72179031, -73.95818329]","[40.75986481, -73.97226715]",28
2442,Automation Market Group,1,82,73,230.128,126,851.25,7,"[40.80126572, -73.96988678]","[40.73099899, -74.00508881]",21
2443,Automation Market Group,1,37,51,423.92,203,836.6,10,"[40.71507263, -74.00948334]","[40.82948303, -73.94184875]",51
2444,Automation Market Group,1,92,82,96.896,411,826.1,41,"[40.71059418, -73.98657227]","[40.74300003, -73.99277496]",53
2445,Automation Market Group,0,94,16,411.808,769,819.55,25.5,"[40.75147247, -74.00363159]","[40.77176285, -73.94954681]",51
2446,Automation Market Group,1,77,57,375.472,617,134.4,5,"[40.74606323, -73.99642181]","[40.72039032, -73.99267578]",29
2447,Automation Market Group,0,46,98,36.336,337,47.5,31.5,"[40.674392700000006, -73.95662689]","[40.7653656, -73.95786285]",45
2448,Automation Market Office,1,23,2,411.808,609,179.7,12.5,"[40.73636627, -73.98124695]","[40.71709061, -73.99549103]",47
2449,Automation Market Office,1,77,74,36.336,263,246.25,8,"[40.76241302, -73.96797943]","[40.64518356, -73.78082275]",56
2450,Automation Market Office,0,61,8,266.464,567,435.45,13.5,"[40.75033951, -73.99134064]","[40.74510574, -73.97876740000001]",45
2451,Automation Market Office,1,62,73,314.912,814,831.2,41,"[40.78335953, -73.95494843]","[40.7796402, -73.98082733]",54
2452,Automation Market Office,1,41,19,290.688,493,848.6,27,"[40.74137497, -73.92160797]","[40.74491501, -73.99783325]",54
2453,Automation Market Office,1,40,15,121.12,27,342.3,15.5,"[40.74438858, -73.97486877]","[40.7720108, -73.99027252]",30
2454,Automation Market Office,1,100,9,169.568,473,21.65,4,"[40.75553894, -73.97975159]","[40.74805832, -73.98428345]",50
2455,Automation Market Office,1,18,31,218.016,230,282.1,21.5,"[40.72024155, -74.01009369]","[40.76723862, -73.98442078]",59
2456,Automation Market Office,0,81,30,399.696,849,849,12.5,"[40.77349854, -73.95168304]","[40.74409103, -73.99575043]",60
2457,Automation Market Office,0,1,79,327.024,876,681.75,42,"[40.77880096, -73.95174408]","[40.79513168, -73.96494293]",53
2458,Automation Market Office,1,84,40,266.464,378,2.5,15.5,"[40.71789551, -74.01550293]","[40.77350235, -73.95992279]",41
2459,Automation Market Office,1,44,23,242.24,508,317.6,22.5,"[40.75810623, -73.9728241]","[40.65715027, -73.79447937]",53
2460,Automation Market Office,1,36,11,205.904,29,20.55,9.5,"[0.0, 0.0]","[40.79672623, -73.96103668]",59
2461,Automation Market Office,1,50,66,532.928,821,668.15,19,"[40.69827652, -73.96121216]","[40.74959183, -73.97737122]",51
2462,Automation Market Office,1,79,100,266.464,745,666.75,1,"[40.76055527, -73.97976685]","[40.71916962, -74.00882721]",23
2463,Automation Market Office,1,100,79,532.928,190,241,39.5,"[40.74520874, -73.99134827]","[40.74491501, -73.99783325]",21
2464,Automation Market Office,1,55,23,278.576,854,328.8,37,"[40.73994446, -74.00513458]","[40.75483322, -73.98426056]",38
2465,Automation Market Office,0,58,53,24.224,67,67.55,21,"[40.76393127, -73.97605896]","[40.75483322, -73.98426056]",31
2466,Automation Market Office,0,20,47,242.24,807,944.45,19.5,"[40.73498154, -73.99124146]","[40.76063919, -74.00213623]",27
2467,Automation Market Office,1,24,71,496.592,660,397.95,1.5,"[40.71220016, -73.95133209]","[40.73730087, -73.99655151]",36
2468,Automation Market Office,1,68,17,145.344,76,393.1,13.5,"[40.76374435, -73.97599029999999]","[40.71897888, -73.99446869]",58
2469,Automation Market Office,0,74,52,327.024,135,579.05,39,"[0.0, 0.0]","[40.71841049, -74.01052094]",50
2470,Automation Market Office,1,33,8,84.784,644,939,44,"[40.753944399999995, -73.99203491]","[40.76947021, -73.96102142]",23
2471,Automation Market Office,1,66,4,496.592,53,509.25,27,"[40.73168182, -73.99027252]","[0.0, 0.0]",42
2472,Automation Market Office,1,2,92,205.904,9,632.75,15,"[40.67192841, -73.96269226]","[40.76023483, -73.99497223]",51
2473,Automation Market Office,0,30,46,363.36,144,842.1,8.5,"[40.7603035, -73.98752594]","[40.72460175, -73.99662781]",54
2474,Automation Market Office,0,34,71,484.48,739,551.9,35,"[40.75101852, -73.97103119]","[40.79104614, -73.94715118]",49
2475,Automation Market Office,0,60,43,314.912,446,247.05,2,"[40.84856033, -73.9387207]","[40.71857834, -73.99199677]",57
2476,Automation Market Office,1,56,96,484.48,287,649.85,1,"[40.74314117, -73.89775848]","[40.74047852, -73.98930359]",35
2477,Automation Market Office,0,59,77,302.8,572,883.95,14,"[40.86204910000001, -73.90930939]","[40.75136948, -73.98239899]",21
2478,Automation Market Office,1,92,51,133.232,795,783.2,18,"[40.77465057, -73.96115875]","[40.75111771, -73.99071503]",59
2479,Automation Market Office,1,21,97,278.576,311,258.2,13,"[40.74979782, -73.97223663]","[40.75260162, -73.97293091]",20
2480,Automation Market Office,0,20,4,508.704,130,801.9,15,"[40.66745377, -73.96108246]","[40.73851013, -73.99958038]",37
2481,Automation Market Office,0,1,16,496.592,419,355.3,19,"[40.73464584, -73.98852539]","[40.78459167, -73.96990967]",49
2482,Automation Market Office,0,30,91,121.12,52,617.95,23,"[40.66745377, -73.96108246]","[40.72039032, -73.99267578]",44
2483,Automation Market Office,1,70,57,484.48,811,643.85,33.5,"[40.78858185, -73.94892883]","[40.7715683, -73.95090485]",55
2484,Automation Market Office,1,31,38,520.816,688,274.95,37,"[40.71976471, -73.99317169]","[40.730636600000004, -74.00267792]",23
2485,Automation Market Process,0,64,45,423.92,547,118.7,2.5,"[40.81517029, -73.94747925]","[40.71899033, -73.99346924]",37
2486,Automation Market Process,0,77,74,460.256,111,969.65,13.5,"[40.74010086, -73.99050140000001]","[40.77116013, -73.96375275]",48
2487,Automation Market Process,0,48,52,169.568,778,315.1,15.5,"[40.76177216, -73.97306061]","[40.71905518, -74.00878143]",58
2488,Automation Market Process,1,39,54,484.48,310,322.85,35,"[40.75545883, -73.97733307]","[40.75286102, -73.93270874]",60
2489,Automation Market Process,1,22,45,448.144,519,748.4,35.5,"[40.72943497, -73.98983765]","[40.79672623, -73.96103668]",34
2490,Automation Market Process,0,80,76,242.24,77,644.9,35.5,"[40.78598404, -73.94567108]","[40.71389008, -74.0087738]",45
2491,Automation Market Process,1,0,60,157.456,269,289.75,6,"[40.73423004, -73.98980713]","[40.71916962, -74.00882721]",28
2492,Automation Market Process,0,76,32,508.704,679,863.55,38,"[40.76629257, -73.96662140000001]","[40.73765945, -73.99769592]",54
2493,Automation Market Process,1,67,80,242.24,118,765.65,29,"[40.78335953, -73.95494843]","[40.79513168, -73.96494293]",48
2494,Automation Market Process,0,42,27,520.816,773,101.7,14,"[40.777980799999995, -73.94556427]","[40.79120636, -73.96520996]",42
2495,Automation Market Process,0,71,74,157.456,659,766.9,5.5,"[40.7491684, -73.99124908]","[40.71480942, -74.01625061]",53
2496,Automation Market Process,0,36,87,363.36,575,882.55,9,"[40.70798111, -74.01556396]","[40.7399559, -74.00505066]",20
2497,Automation Market Process,0,61,82,181.68,650,433.65,44.5,"[40.65415955, -73.88738251]","[40.73323441, -74.00241852]",35
2498,Automation Market Process,1,80,79,218.016,486,374.05,12,"[40.65733337, -73.96224213]","[40.75730515, -73.98999023]",36
2499,Automation Market Process,1,6,27,508.704,426,583.55,45,"[40.75894165, -73.91217041]","[40.77487946, -73.98215485]",53
2500,Automation Market Process,1,87,82,460.256,20,673.55,15.5,"[40.71479034, -74.01376343]","[40.7651329, -73.98223114]",43
2501,Automation Market Process,1,47,93,375.472,856,949.65,10,"[40.71485901, -74.01133728]","[40.76217651, -73.97849274]",43
2502,Automation Market Process,0,26,17,254.352,791,982.45,2.5,"[40.71276093, -74.00975037]","[40.72937012, -73.98986816]",52
2503,Automation Market Process,0,2,16,423.92,793,40.7,30,"[40.74425125, -73.99568939]","[40.73099899, -74.00508881]",42
2504,Automation Market Process,1,27,65,460.256,84,468.45,3,"[40.60917664, -73.99208832]","[40.75522232, -73.99271393]",55
2505,Automation Market Process,0,19,19,181.68,717,331.05,4,"[40.74606323, -73.99642181]","[40.76044846, -73.99504089]",34
2506,Automation Market Process,1,56,65,96.896,324,9.1,2.5,"[40.76807022, -73.95682526]","[40.75522232, -73.99271393]",38
2507,Automation Market Process,1,23,49,484.48,637,499.45,22,"[40.74558258, -73.99375916]","[40.74156952, -74.00348663]",24
2508,Automation Market Process,1,43,30,520.816,28,560.7,5,"[40.74314117, -73.89775848]","[40.72182083, -74.00428009]",58
2509,Automation Market Process,0,25,11,363.36,202,620.95,1,"[40.76481247, -73.96455383]","[40.75120163, -73.99398041]",30
2510,Automation Market Process,1,31,65,532.928,515,389.05,38.5,"[40.76013565, -73.97584534]","[40.75136948, -73.98239899]",24
2511,Automation Market Process,0,17,74,339.136,426,30.4,21,"[40.75853348, -73.97695159999999]","[40.76839066, -73.98168945]",31
2512,Automation Market Process,0,75,95,145.344,441,791,6.5,"[40.76766586, -73.98075104]","[40.729911799999996, -73.98078156]",51
2513,Automation Market Process,1,17,80,363.36,459,686.55,42.5,"[40.72063446, -73.99514771]","[40.75455856, -73.99165344]",21
2514,Automation Market Process,0,66,41,230.128,467,16.85,38.5,"[40.80897141, -73.94455719]","[40.76723862, -73.98442078]",30
2515,Automation Market Process,0,77,54,327.024,892,652.75,3,"[40.75741577, -73.98961639]","[40.78488159, -73.97921753]",46
2516,Automation Market Process,0,30,39,218.016,368,559.45,19,"[40.64691162, -73.78704834]","[40.7429924, -73.97399902]",39
2517,Automation Market Process,0,59,13,96.896,60,40.45,23,"[40.78731155, -73.95005035]","[40.72050095, -73.99694824]",57
2518,Automation Market Process,1,20,8,109.008,560,894.9,33.5,"[40.73904419, -73.97705841]","[40.78263092, -73.94828033]",43
2519,Automation Market Process,1,98,60,121.12,298,682.45,4,"[0.0, 0.0]","[40.73525238, -73.98988342]",35
2520,Automation Market Process,0,22,6,266.464,73,397.55,43,"[40.7603035, -73.98752594]","[40.70943451, -74.014328]",39
2521,Automation Market Process,0,47,36,472.368,739,417.3,20,"[40.72621155, -73.98042297]","[40.74461365, -73.97942352]",31
2522,Automation Market Product,0,6,81,109.008,448,30.3,4.5,"[40.73636627, -73.98124695]","[40.73526001, -73.99387359999999]",60
2523,Automation Market Product,0,21,46,411.808,758,97.5,12.5,"[40.75033951, -73.99134064]","[40.77191162, -73.98275757]",29
2524,Automation Market Product,0,89,16,314.912,507,381.85,38.5,"[40.70992661, -74.00960541]","[40.78263092, -73.94828033]",58
2525,Automation Market Product,0,18,100,193.792,852,509.6,13,"[40.7385025, -73.99201202]","[40.730636600000004, -74.00267792]",57
2526,Automation Market Product,1,51,42,169.568,570,960.45,3,"[0.0, 0.0]","[40.73730087, -73.99655151]",26
2527,Automation Market Product,1,96,38,96.896,86,84.05,38.5,"[40.79670715, -73.97093964]","[40.71915817, -73.98174286]",52
2528,Automation Market Product,1,48,97,145.344,725,432.4,37,"[40.73636627, -73.98124695]","[40.74432373, -73.98726654]",60
2529,Automation Market Product,0,71,65,60.56,126,81.1,18.5,"[40.71446991, -74.01582336]","[40.77373886, -73.98165894]",25
2530,Automation Market Product,0,87,98,242.24,269,284.7,20.5,"[40.74606323, -73.99642181]","[40.7796402, -73.98082733]",50
2531,Automation Market Product,1,10,33,532.928,122,353.65,20,"[40.75367355, -73.93774414]","[40.76461792, -73.98136139]",37
2532,Automation Market Product,0,71,11,12.112,742,842.4,4.5,"[40.71357346, -74.03556824]","[40.74456024, -73.97602081]",49
2533,Automation Market Product,0,76,10,84.784,465,504.85,43.5,"[40.80126572, -73.96988678]","[40.69787216, -73.92774200000001]",52
2534,Automation Market Product,0,32,5,24.224,819,126,43.5,"[40.73168182, -73.99027252]","[40.75600815, -73.96777344]",55
2535,Automation Market Product,1,38,59,423.92,367,530.25,27.5,"[40.80475998, -73.95410156]","[40.76550674, -73.95474243]",54
2536,Automation Market Product,1,81,84,60.56,721,788.85,3.5,"[40.7560997, -73.97008514]","[40.72389221, -73.99133301]",26
2537,Automation Market Product,1,98,32,448.144,548,294,25.5,"[40.74521637, -73.98146057]","[40.74690247, -73.99336243]",32
2538,Automation Market Product,0,45,78,218.016,741,535.4,11.5,"[40.72024155, -74.01009369]","[40.74491501, -73.99783325]",44
2539,Automation Market Product,1,5,33,436.032,282,388.05,10.5,"[40.76491547, -73.97251129]","[40.78263092, -73.94828033]",60
2540,Automation Market Product,0,41,12,181.68,78,14.85,28,"[40.72816086, -73.99926758]","[40.73976898, -73.97940063]",34
2541,Automation Market Product,0,18,86,230.128,545,223.55,19,"[40.70491791, -74.0172348]","[40.74240875, -73.98387146]",42
2542,Automation Market Product,1,41,21,109.008,625,139.55,20,"[40.73992157, -73.99156189]","[40.73940659, -74.00189972]",39
2543,Automation Market Product,1,25,71,193.792,328,920.9,1,"[40.76807022, -73.95682526]","[40.74437332, -73.98094177]",23
2544,Automation Market Product,0,37,2,254.352,205,217.25,19,"[40.83986664, -73.93864441]","[40.74491882, -74.00614929]",25
2545,Automation Market Product,0,54,56,423.92,466,64.6,40,"[40.73916626, -73.97684479]","[40.74933243, -73.97954559]",42
2546,Automation Market Product,0,17,100,205.904,442,227.05,34.5,"[40.71059418, -73.98657227]","[40.71709061, -73.99549103]",26
2547,Automation Market Product,0,66,49,169.568,112,715.8,43,"[40.74761963, -73.98046112]","[40.759838099999996, -73.97177124]",46
2548,Automation Market Product,0,16,70,520.816,79,704.5,32,"[40.76629257, -73.96662140000001]","[40.73730087, -73.99655151]",27
2549,Automation Market Product,0,9,50,121.12,176,148.25,11,"[40.72790527, -73.99918365]","[40.76353836, -73.96932983]",52
2550,Automation Market Product,1,19,94,363.36,270,822.8,17,"[40.72790527, -73.99918365]","[40.77176285, -73.94954681]",55
2551,Automation Market Product,0,67,92,133.232,100,419.5,18,"[40.7624855, -73.97445679]","[40.76550674, -73.95474243]",28
2552,Automation Market Product,1,16,51,218.016,268,882.9,19.5,"[40.73636627, -73.98124695]","[40.74690247, -73.99336243]",43
2553,Automation Market Service,1,95,14,290.688,481,658.9,42,"[40.69827652, -73.96121216]","[40.79764175, -73.97100067]",52
2554,Automation Market Service,0,47,57,193.792,660,339.8,34,"[40.74143982, -73.9937973]","[40.78115082, -73.9495697]",60
2555,Automation Market Service,0,69,22,375.472,470,987.7,2,"[40.75926971, -73.97112274]","[40.7797699, -73.95050049]",56
2556,Automation Market Service,1,81,37,460.256,784,471.65,31,"[40.75054932, -73.99459076]","[40.72647095, -73.99420166]",25
2557,Automation Market Service,0,88,48,109.008,882,56.2,44,"[0.0, 0.0]","[40.80104065, -73.96527863]",21
2558,Automation Market Service,1,51,79,496.592,683,878.75,10.5,"[40.77035904, -73.87529755]","[40.78190994, -73.95574188]",34
2559,Automation Market Service,0,36,82,230.128,732,101.1,17,"[40.76937866, -73.96932983]","[40.77143478, -73.95632935]",22
2560,Automation Market Service,0,80,8,109.008,57,182.1,27,"[40.80737686, -73.96426392]","[40.75234985, -74.00081635]",54
2561,Automation Market Service,0,20,86,532.928,360,690.85,39.5,"[40.7521019, -73.97033691]","[40.78190994, -73.95574188]",45
2562,Automation Market Service,1,69,57,436.032,216,802.25,3.5,"[40.70693588, -74.00736237]","[40.75214386, -73.98194122]",52
2563,Automation Market Service,0,90,28,387.584,759,919.25,11,"[40.73423004, -73.98980713]","[0.0, 0.0]",50
2564,Automation Market Service,1,71,11,351.248,153,412.65,32,"[40.74520874, -73.99134827]","[40.74304962, -73.9801178]",25
2565,Automation Market Service,0,11,71,496.592,680,863.3,16.5,"[40.73423004, -73.98980713]","[40.79944611, -73.96843719]",51
2566,Automation Market Service,1,2,66,411.808,271,376.85,35,"[40.66186905, -73.97924805]","[40.73800659, -73.98813629]",41
2567,Automation Market Service,1,64,11,218.016,205,331.5,21.5,"[40.76251984, -73.97697449]","[40.74432373, -73.98726654]",55
2568,Automation Market Service,0,94,36,60.56,75,47.4,16.5,"[40.75434875, -73.96577454]","[40.74522018, -74.00592804]",57
2569,Automation Market Service,0,35,62,254.352,644,325.55,27,"[40.70693588, -74.00736237]","[40.7168808, -73.98184967]",29
2570,Automation Market Service,1,3,50,508.704,67,818.1,20.5,"[40.83986664, -73.93864441]","[40.79944611, -73.96843719]",38
2571,Automation Market Service,1,42,47,278.576,438,188.9,34.5,"[40.74923706, -74.00220490000001]","[40.77501678, -73.96305847]",39
2572,Automation Market Service,1,39,92,12.112,190,649.9,15,"[40.74341202, -73.98616028]","[40.76701736, -73.95657349]",42
2573,Automation Market Service,1,21,17,387.584,140,707.95,29,"[40.74300766, -73.89084625]","[40.751945500000005, -73.97713470000001]",53
2574,Automation Market Service,0,53,70,375.472,197,144.85,8,"[40.76834869, -73.95544434]","[40.73803711, -73.9962616]",34
2575,Automation Market Service,1,48,99,327.024,357,852.85,1,"[40.72577667, -73.98368073]","[40.73667526, -73.99741364]",40
2576,Automation Market Service,0,39,97,375.472,53,786.5,28.5,"[40.74729156, -73.99324036]","[40.73099899, -74.00508881]",58
2577,Automation Market Service,0,97,62,327.024,20,999.85,6,"[40.76462936, -73.91187286]","[40.782444, -73.98064423]",37
2578,Automation Market Service,0,70,46,84.784,349,267.45,8.5,"[40.75761414, -73.97164154]","[40.79104614, -73.94715118]",21
2579,Automation Market Team,0,2,19,460.256,324,829.65,10.5,"[40.75054932, -73.99459076]","[40.71913147, -74.00708771]",32
2580,Automation Market Team,1,30,38,254.352,288,580,4.5,"[40.78858185, -73.94892883]","[40.759838099999996, -73.97177124]",34
2581,Automation Market Team,0,22,6,205.904,357,446.45,13,"[40.69827652, -73.96121216]","[40.7399559, -74.00505066]",21
2582,Automation Market Team,0,88,82,532.928,464,287.65,34,"[40.79058075, -73.96884918]","[40.76662064, -73.9536438]",44
2583,Automation Market Team,0,76,77,484.48,361,288.65,13.5,"[40.79938507, -73.93881226]","[40.75600815, -73.96777344]",28
2584,Automation Market Team,1,9,39,72.672,7,844.75,20,"[40.77423096, -73.96350861]","[40.73356247, -73.97650146]",42
2585,Automation Market Team,0,72,76,278.576,589,322.9,21,"[40.75101852, -73.97103119]","[40.63657379, -73.89412689]",29
2586,Automation Market Team,0,50,0,60.56,851,399.55,13.5,"[40.76241302, -73.96797943]","[40.76848221, -73.95570374]",49
2587,Automation Market Team,1,33,13,205.904,893,967.8,42,"[40.74802017, -73.98296356]","[40.80129242, -73.95974731]",23
2588,Automation Market Team,1,58,62,436.032,491,236.5,9.5,"[40.73636627, -73.98124695]","[40.71916962, -74.00882721]",26
2589,Automation Market Team,0,45,41,508.704,382,422,25.5,"[40.74137497, -73.92160797]","[40.80104065, -73.96527863]",20
2590,Automation Market Team,0,95,54,193.792,359,525.75,5,"[0.0, 0.0]","[40.75120163, -73.99398041]",25
2591,Automation Market Team,0,5,9,399.696,268,284.9,26,"[40.71966171, -73.99439240000001]","[40.74588013, -73.99058533]",48
2592,Automation Market Team,1,82,0,290.688,687,64.4,36.5,"[40.83986664, -73.93864441]","[40.74981308, -73.97547913]",59
2593,Automation Market Team,0,75,27,169.568,731,814.55,44.5,"[40.73403549, -74.00247192]","[40.67956543, -73.98455048]",57
2594,Automation Market Team,0,33,59,181.68,538,148.15,22,"[40.74871063, -73.96938324]","[40.75120163, -73.99398041]",22
2595,Automation Market Team,1,77,48,436.032,877,291.8,19,"[40.60917664, -73.99208832]","[40.77806854, -73.95677185]",20
2596,Automation Market Team,0,63,41,145.344,802,435.05,16.5,"[40.758903499999995, -73.97261047]","[40.77143478, -73.95632935]",37
2597,Automation Market Team,0,74,28,145.344,631,15.05,13.5,"[40.73994827, -73.98949432]","[40.76459122, -73.97683716]",26
2598,Automation Market Team,1,3,26,484.48,792,51.3,27.5,"[40.66745377, -73.96108246]","[40.7336998, -73.97679138]",43
2599,Automation Market Team,0,20,38,314.912,333,771.9,37.5,"[40.74606323, -73.99642181]","[40.74304962, -73.9801178]",39
2600,Automation Market Team,1,97,49,327.024,698,825.5,25.5,"[40.76570892, -73.98188782]","[40.79436111, -73.94271088]",60
2601,Automation Market Team,1,48,64,24.224,440,931.2,10,"[40.71446991, -74.01582336]","[40.78488159, -73.97921753]",44
2602,Automation Market Team,0,33,2,24.224,589,255.5,12.5,"[40.72052383, -74.32032776]","[40.74240875, -73.98387146]",24
2603,Automation Market Team,1,20,62,24.224,513,88.35,7.5,"[40.75926971, -73.97112274]","[40.76317978, -73.97831726]",46
2604,Automation Market Team,0,58,98,532.928,706,308.6,35.5,"[40.73482132, -73.98304749]","[40.75685883, -73.96755219]",60
2605,Automation Market Team,1,6,18,205.904,350,525.9,39,"[40.71392059, -74.01409912]","[40.75056839, -73.9877243]",48
2606,Automation Market Team,0,75,99,302.8,305,709.8,1.5,"[40.74298859, -73.98935699]","[40.75455856, -73.99165344]",57
2607,Automation Market Team,1,94,34,193.792,137,467.55,34.5,"[40.72577667, -73.98368073]","[40.75234985, -74.00081635]",56
2608,Automation Market Team,0,4,63,121.12,540,231.25,14.5,"[40.71749115, -73.95803833]","[40.73099899, -74.00508881]",45
2609,Automation Market Team,0,47,22,448.144,510,355.1,16.5,"[40.85154724, -73.91590118]","[40.74456024, -73.97602081]",52
2610,Automation Market Team,0,98,95,448.144,528,354.6,40,"[40.71976471, -73.99317169]","[40.71217346, -73.96391296]",29
2611,Automation Market Team,1,55,37,484.48,77,882.65,40,"[40.68455124, -73.97881317]","[40.71899033, -73.99346924]",45
2612,Automation Market Team,1,74,63,436.032,236,284.35,5,"[40.80493164, -73.96251678]","[40.75120163, -73.99398041]",53
2613,Automation Market Team,1,19,6,496.592,66,191.4,8.5,"[40.773151399999996, -73.97837067]","[40.75286102, -73.93270874]",33
2614,Automation Market Team,1,63,3,290.688,447,146.8,8.5,"[40.71307373, -74.01493073]","[40.72114182, -74.00994873]",48
2615,Automation Reporting Group,0,12,19,436.032,794,5.3,10,"[40.74761963, -73.98046112]","[40.76217651, -73.97849274]",34
2616,Automation Reporting Group,0,27,28,24.224,889,302.95,40.5,"[40.75054932, -73.99459076]","[40.7562561, -73.99021912]",26
2617,Automation Reporting Group,1,22,71,363.36,543,937.8,9,"[40.76579285, -73.98306274]","[40.76081085, -73.96105194]",27
2618,Automation Reporting Group,0,2,24,375.472,854,491.6,8.5,"[40.77344131, -73.95558929]","[40.77873993, -73.95822906]",33
